"Metric","Experimental_Group_d","Control_Group_d","Between_Group_d","Experimental_Pre_Mean","Experimental_Post_Mean","Control_Pre_Mean","Control_Post_Mean"
"CMJA",0.543071861581484,0.0636888042612418,0.402888124148268,310.125,313.875,292,293.75
"Running_CMJ",1.15634344649058,0.103737766939839,0.873752887698421,314.75,322.125,301.875,304.5
"single_leg_CMJ",0.351906485542758,0.0164024982894389,0.65133894727893,316.625,319.125,305.25,305.75
"BS_1RM",1.89674073292154,0.923927371369968,0.870264417873489,151.875,198.125,123.75,156.875
"Max_Relative_Force",0.728204010925868,-0.214700735813085,1.57285563728867,2.7925,2.9825,3.0025,2.93
"Relative_Peak_Power",0.0806033263796343,0.0838187369319055,0.034917621751507,82.625,85,83.375,85.125
"Flight_Height",1.7104281228377,1.5972975539359,0.403020302227358,0.6145,0.94825,0.592125,0.814
"Reactive_Strength_Index",0.524649859468961,1.89887117079048,-0.363860802712611,0.68125,0.849,0.44525,0.77325
"Mean_Power",-0.447891959031465,1.1834282966912,-1.05494748841788,3034.625,2599.5,1703.375,2828.375
"Peak_Power",0.0569806865580394,0.205150331174453,-0.155551334169878,6877.25,7026.375,6069,6398.125
"Concentric_Impulse",0.106068601783305,0.208545664517224,0.0259275518472951,287.25,298.125,268.25,278.25
"Max_Concentric_Velocity",0.16308719877873,-0.0335263405726553,0.354664295259471,3.5245,3.68925,3.781,3.7645
"Takeoff_Velocity",0.131035184475851,-0.0596995382616894,0.317206687142733,3.4425,3.574,3.699125,3.669375
